date,meter_value
30-01-2017,15
30-01-2017,316
30-01-2017,42
31-01-2017,21
31-01-2017,247
31-01-2017,16
01-02-2017,34
01-02-2017,201
01-02-2017,130
01-02-2017,1932
02-02-2017,100
02-02-2017,321
02-02-2017,41
02-02-2017,520
03-02-2017,6
03-02-2017,265
03-02-2017,194
03-02-2017,18
04-02-2017,0
04-02-2017,339
04-02-2017,50
04-02-2017,346
05-02-2017,0
05-02-2017,305
05-02-2017,0
05-02-2017,1032
06-02-2017,0
06-02-2017,289
06-02-2017,1
07-02-2017,9
07-02-2017,197
07-02-2017,9
07-02-2017,1022
08-02-2017,13
08-02-2017,274
08-02-2017,178
08-02-2017,146
09-02-2017,36
09-02-2017,335
09-02-2017,50
09-02-2017,447
10-02-2017,17
10-02-2017,180
10-02-2017,56
10-02-2017,117
11-02-2017,15
11-02-2017,248
11-02-2017,141
11-02-2017,1088
12-02-2017,149
12-02-2017,168
12-02-2017,8
12-02-2017,891
13-02-2017,16
13-02-2017,334
13-02-2017,16
13-02-2017,258
14-02-2017,18
14-02-2017,294
14-02-2017,87
14-02-2017,101
15-02-2017,34
15-02-2017,270
15-02-2017,296
15-02-2017,218
16-02-2017,27
16-02-2017,280
16-02-2017,17
16-02-2017,529
17-02-2017,17
17-02-2017,187
17-02-2017,19
17-02-2017,290
18-02-2017,139
18-02-2017,214
18-02-2017,145
18-02-2017,843
19-02-2017,124
19-02-2017,314
19-02-2017,169
19-02-2017,376
20-02-2017,23
20-02-2017,142
20-02-2017,49
20-02-2017,493
21-02-2017,25
21-02-2017,318
21-02-2017,15
21-02-2017,366
22-02-2017,20
22-02-2017,228
22-02-2017,162
22-02-2017,424
23-02-2017,30
23-02-2017,81
23-02-2017,154
23-02-2017,89
24-02-2017,19
24-02-2017,66
24-02-2017,119
24-02-2017,63
25-02-2017,139
25-02-2017,286
25-02-2017,97
25-02-2017,977
26-02-2017,133
26-02-2017,353
26-02-2017,93
26-02-2017,488
27-02-2017,104
27-02-2017,291
27-02-2017,83
27-02-2017,617
28-02-2017,16
28-02-2017,257
28-02-2017,8
28-02-2017,126
